product_code,name,vendor_code,color,purchase_price,cup_type,price,photo,sizes,stock
С429,"Еротичний комплект білизни в сіточку, S, L. Код: С429",#942,чорний,326.25,,750,,L чорний,1
С430,Розкішний еротичний комплект у 2х кольорах. Код: С430,#580,"чорний, червоний",422.82,,980,,"M чорний, M червоний",2
КУ20,Пляжні плавки з невеликим драпірування ззаду. Код: КУ20,#3102,чорний,111,,250,,40,1
КУ21,"Пляжні трусики чайки чорні, нар. 36, 38, 40, 42, 44. Код: КУ21",#555,чорний,98,,250,,"36, 38, 42, 44",4
КУ23,"Купальник ""Загадкова міс"", червоний, S-XL. Код: КУ23",#208,червоний,215,,650,,"S, M",2
КУ24,"Чорні пляжні трусики американки, 36, 38, 40, 42, 44. Код: КУ24",#13-172,чорний,84,,250,,44,1
КУ25,"Купальник з коректором ""Манго-мікс"", М, XL. Код: КУ25",#9717,рожевий,145,,550,,M,1
КУ27,"Купальник роздільний з пушап, два кольори. Код: КУ27",#13-142,салатовий,350,,820,,"38, 42",2
КУ28,"Купальник з коректором ""Квіточки"", S, М, XL. Код: КУ28",#322,мікс кольорів,135,,440,,"S, M",2
КУ29,Жовто-синій купальник з push-up. Код: КУ29,#9908,жовто-синій,160,,480,,38(XL),1
КУ35,"Помаранчевий молодіжний купальник, р.36, 38, 40, 42. Код: КУ35",#13-70,помаранчевий,266,,840,,36,1
КУ42,"Чоловічі пляжні боксери, нар. 48, 50, 52, 54, 56. Код: КУ42",#14-149,мікс синіх кольорів,98,,320,,M-L,1
КУ43,"Помаранчевий жіночий купальник, 36, 38, 40, 42, 44. Код: КУ43",#22710,помаранчевий,224,,700,,"36(S), 38(M), 42(XL), 44(2XL)",4
КУ44,Жіночі пляжні трусики чайки. Код: КУ44,#590,чорний,68,,250,,"38, 40, 42, 44, 46",5
КУ47,"Купальник у стилі Victoria's Secret, нар. 38, 40, 42, 44, 46. Код: КУ47",#68503,чорно-рожевий,160,,550,,38,1
КУ54,Жіночі пляжні стрінги на зав'язках. Код: КУ54,#101,чорний,63,,250,,"40, 40, 42, 44, 46",5
КУ58,Суцільний молодіжний купальник. Код: КУ58,#2001,чорний з малюнком,250,,850,,L,1
КУ61,Стильний купальник чорний з топом. Код: КУ61,#13-66,чорний,247,,750,,42,1
КУ62,"Модний молодіжний купальник, два кольори. Код: КУ62",#14-04,жовтий,196,,700,,42,1
КУ63,"Червоний купальник, нар. 42, 44. Код: КУ63",#161-6,червоний,194,,680,,44,1
КУ67,Модний купальник із топом. Код: КУ67,#13-53,персиковий,247,,750,,"38, 40, 42",3
КУ69,Сексуальний купальник S/M. Код: КУ69,#ДМ008,"зелений, червоний",104,,395,,"S/M зелений, S/M червоний",2
КУ70,Молодіжний купальник S/M Код: КУ70,#ДМ058,"жовтий, блакитний",112,,295,,"S/M жовтий, S/M блакитний",2
КУ72,Червоний бюстик купальника з пуш-ап чашкою 70В. Код: КУ72,#Elif,червоний,240,,650,,70В,1
КУ74,Модний пуш-ап купальник зі стразами. Код: КУ74,#SGC518KRW,помаранчевий,383,,950,,42В,1
КУ75,"Купальник з топом, яскраві бірюзові жниварки. Код: КУ75",#86224,бірюзовий,300,,700,,36,1
КУ76,Яскравий купальник з топкою жниварка. Код: КУ76,#212,червоний,300,,700,,"S, L, XL",3
КУ78,Синій купальник із стразами LOVE ME. Код: КУ78,#22508,синій,318,,700,,40,1
КУ80,"Модні купапальники, три кольори. Код: КУ80",#19011,"коричневий, малиновий, леопард",193.2,,450,,"S коричневий, S леопардовий, L малиновий",3
КУ81,Чорний молодіжний купальник. Код: КУ81,#13-77,чорний,287,,780,,46,1
Д28,Халат для дому. Код: Д28,#047 чорний софт,червоний,215,,540,,червоний,1
Д60,"Костюм тринитка Barbie, S, M. Код: Д60",#8888,"чорний, малиновий",765,,1380,,"S чорний, M малиновий",2
Д61,Шикарна велюрова піжама VS. Код: Д61,"#9102, 1998",червоний,1100,,1720,,M,1
