ID Товара,Артикул / Модель,Остаток,Цена,Путь к фото,Название UA,Название RU,
124,К12,777,33.0,data/tights_socks/K12.png,"&quot;Elizabeth&quot; (20 den) с эффектом утяжки, чёрные","&quot;Elizabeth&quot; (20 den) с эффектом утяжки, чёрные",
125,К14,777,29.0,data/tights_socks/K14.png,"&quot;Elizabeth&quot; (20 den) с заниженной талией, р.4, бежевые","&quot;Elizabeth&quot; (20 den) с заниженной талией, р.4, бежевые",
127,К11,777,29.0,data/tights_socks/K11.png,"&quot;Elizabeth&quot; (20 den) с кружевными бикини, чёрные","&quot;Elizabeth&quot; (20 den) с кружевными бикини, чёрные",
128,К10,777,27.0,data/tights_socks/K10.png,"&quot;Elizabeth&quot; (20 den) с эластичным поясом T-BAND, бежевые","&quot;Elizabeth&quot; (20 den) с эластичным поясом T-BAND, бежевые",
129,К9,777,27.0,data/tights_socks/K9.png,"&quot;Elizabeth&quot; (20 den) с эластичным поясом T-BAND, чёрные","&quot;Elizabeth&quot; (20 den) с эластичным поясом T-BAND, чёрные",
684,К19,777,65.0,data/tights_socks/К19.jpg,"Колготки детские &quot;Ласочка&quot;, размер: 92-98","Колготки детские &quot;Ласочка&quot;, размер: 92-98",
131,Н20,777,7.0,data/tights_socks/Н20.png,"Капроновые носочки c узорами (30 den), с лайкрой","Капроновые носочки c узорами (30 den), с лайкрой",
132,Н19,777,8.0,data/tights_socks/Н19.png,"Носки Elizabeth (30den) широкая резинка, невидимый мысок","Носки Elizabeth (30den) широкая резинка, невидимый мысок",
133,Н18,777,8.0,data/tights_socks/Н18.png,"Носки Elizabeth (30den) широкая резинка, чёрные","Носки Elizabeth (30den) широкая резинка, чёрные",
134,К53,777,35.0,"data/tights_socks/K53,55,57.png","&quot;Elizabeth&quot; (40 den) с шортиками, бежевые","&quot;Elizabeth&quot; (40 den) с шортиками, бежевые",
135,К52,777,35.0,"data/tights_socks/K52,54,56.png","&quot;Elizabeth&quot; (40 den) с шортиками, чёрные","&quot;Elizabeth&quot; (40 den) с шортиками, чёрные",
136,К59,777,23.0,data/tights_socks/K59.png,"Колготки &quot;Руслана&quot; (30 den) с шортиками, бежевые, р.5","Колготки &quot;Руслана&quot; (30 den) с шортиками, бежевые, р.5",
137,К58,777,23.0,data/tights_socks/K58.png,"Колготки &quot;Руслана&quot; (30 den) с шортиками, чёрные, р.5","Колготки &quot;Руслана&quot; (30 den) с шортиками, чёрные, р.5",
138,К7,777,85.0,data/tights_socks/К7_gatta_happySсhool.png,"Детские колготы Gatta Happy Sсhool, р.116-122","Детские колготы Gatta Happy Sсhool, р.116-122",
