product_code	name	vendor_code	color	purchase_price	cup_type	price	photo	sizes	stock
Б81	Бюстгальтер Diorella у чашці C, чорно-білий	#32675	чорно-білий	74	На тонком	190	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б51-100/Б81_1.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б51-100/Б81_2.jpg	75С чорно-білий	8
Б82	Бюстгальтер Diorella у чашці C, чорно-золотий	#32181	чорно-бежевий	76	На тонком	330	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б51-100/Б82_1.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б51-100/Б82_2.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б51-100/Б82_3.jpg	75С чорно-бежевий	27
Б85	Бюстгальтер Diorella у чашці C, білий	#33696	білий	81	На тонком	330	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б51-100/Б85.jpg	80С білий	5
Б86	Бюстгальтер Diorella у чашці D, чорно-білий	#33266	чорно-білий	88	На тонком	220	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б51-100/Б86.jpg	75D чорно-білий	4
Б90	Бюстгальтер Diorella в чашці С, бузковий	#34203	бузковий	102	На тонком	330	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б51-100/Б90_1.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б51-100/Б90_2.jpg	75С бузковий	3
Б96	Бюстгальтер Diorella у чашці D, блакитний	#63998	блакитний	106	На тонком	320	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б51-100/Б96_1.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б51-100/Б96_2.jpg	75D блакитний	3
Б103	Малиновий ліф зі знімним пуш-апом у чашці А	#7120	малиновий	40	Пуш-ап	90	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б101-150/Б103_1.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б101-150/Б103_2.jpg	75A малиновий	8
Б107	Бежеве погруддя м'яка чашка D. Код: Б107	#90553	бежевий	138.6	м'яка	440	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б101-150/107_0.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б101-150/107_1.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б101-150/107_2.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б101-150/107_7.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б101-150/107_8.jpg	80D бежевий, 85D бежевий, 90D бежевий	12
Б112	Бюстгальтер пуш-ап для відкритого декольте, чашка В. Код: Б112	#2207	білий	142.8	Пуш-ап	420	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б101-150/112_11.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б101-150/112_12.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б101-150/112_13.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б101-150/112_14.jpg	85В білий	7
Б116	Бюстик без поролону в чашках С та D. Код: Б116	#2107	чорний	160	м'яка	440	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б101-150/116_11.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б101-150/116_12.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б101-150/116_13.jpg	90С чорний, 95С чорний	7
Б118	Чорні бретелі 1,2 см. Код: Б118	#20	чорний	13.86	----	40	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б101-150/118_10.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б101-150/118_11.jpg	чорні	2
Б119	Бежеві бретелі 1,5 см. Код: Б119	#1000ш	бежевий	6.62	----	40	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б101-150/119_11.jpg	бежеві	3
Б120	Бюстик без поролона чашка білого кольору. Код: Б120	#15771	білий	158.34	м'яка	370	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б101-150/120_10.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б101-150/120_11.jpg	75В білий	4
Б121	Бюстгальтер з push-up у чашці B, малиновий	#312	малиновий	43	Пуш-ап	90	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б101-150/Б121_1.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б101-150/Б121_2.jpg	80В малиновий, 85В малиновий	3
Б122	Зелений бюстгальтер з пуш-апом у чашці В	#7497	зелений	42	Пуш-ап	90	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б101-150/Б122_1.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б101-150/Б122_2.jpg	70В зелений	1
Б123	Зелений бюстгальтер пуш ап у чашці Б	#328	зелений	42	Пуш-ап	90	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б101-150/Б123_1.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б101-150/Б123_2.jpg	80В зелений	3
Б131	Бюстик відкритої форми чашка С, чорно-бежевий. Код: Б131	#8276	чорно-бежевий	169	На тонком	420	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б101-150/131_10.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б101-150/131_11.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б101-150/131_12.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б101-150/131_13.jpg	80C чорно-бежевий, 85C чорно-бежевий	1
Б134	Бузковий бюст Anfen у чашці 75С. Код: Б134	#919	бузковий	67	На тонком	280	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б101-150/134_3.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б101-150/134_4.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б101-150/Б134_2.jpg	75С бузковий	3
Б139	Ажурний бюстик пушап чашка B. Код: Б139	#2344	бежевий	148.26	Пуш-ап	420	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б101-150/139_20.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б101-150/139_21.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б101-150/139_23.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б101-150/139_24.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б101-150/139_25.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б101-150/139_26.jpg	85В бежевий	1
Б144	Бюстик без поролону чашка Е сірого кольору. Код: Б144	#2103	темно-сірий	181.24	м'яка	390	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б101-150/144_20.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б101-150/144_21.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б101-150/144_5.jpg	100E темно-сірий	1
Б147	Рожевий погруддя з атласною стрічкою, пуш-ап чашка B	#2827	рожевий	50	Пуш-ап	90	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б101-150/Б147_1.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б101-150/Б147_2.jpg	75В рожевий, 80В рожевий	2
Б148	Погруддя з пуш-ап чашкою A, мереживо зверху чашки	#3863	малиновий	49	Пуш-ап	90	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б101-150/Б148_1.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б101-150/Б148_2.jpg	75A малиновий, 80A малиновий	2
Б150	Бюстик пушап чашка, шість кольорів. Код: Б150	#K0488	пудра	134.6	Пуш-ап	370	https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б101-150/150_20.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б101-150/150_21.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б101-150/150_22.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б101-150/150_23.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б101-150/150_24.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б101-150/150_25.jpg, https://raw.githubusercontent.com/Richy5959/lastochka_phono/main/catalog_photos/data/2 - bras_bralets/Б101-150/150_26.jpg	80В пудра, 85В пудра	5
